2022-03-24 22:18:44 status unpacked libpulse0:amd64 1:13.99.1-1ubuntu3.13
2022-03-24 22:18:44 install libpulsedsp:amd64 <none> 1:13.99.1-1ubuntu3.13
2022-03-24 22:18:44 status half-installed libpulsedsp:amd64 1:13.99.1-1ubuntu3.13
2022-03-24 22:18:44 status unpacked libpulsedsp:amd64 1:13.99.1-1ubuntu3.13
2022-03-24 22:18:44 install libsm6:amd64 <none> 2:1.2.3-1
2022-03-24 22:18:44 status half-installed libsm6:amd64 2:1.2.3-1
2022-03-24 22:18:44 status unpacked libsm6:amd64 2:1.2.3-1
2022-03-24 22:18:44 install libwayland-client0:amd64 <none> 1.18.0-1
2022-03-24 22:18:44 status half-installed libwayland-client0:amd64 1.18.0-1
2022-03-24 22:18:44 status unpacked libwayland-client0:amd64 1.18.0-1
2022-03-24 22:18:44 install libxt6:amd64 <none> 1:1.1.5-1
2022-03-24 22:18:44 status half-installed libxt6:amd64 1:1.1.5-1
2022-03-24 22:18:44 status unpacked libxt6:amd64 1:1.1.5-1
2022-03-24 22:18:44 install libxmu6:amd64 <none> 2:1.1.3-0ubuntu1
2022-03-24 22:18:44 status half-installed libxmu6:amd64 2:1.1.3-0ubuntu1
2022-03-24 22:18:44 status unpacked libxmu6:amd64 2:1.1.3-0ubuntu1
2022-03-24 22:18:44 install libxpm4:amd64 <none> 1:3.5.12-1
2022-03-24 22:18:44 status half-installed libxpm4:amd64 1:3.5.12-1
2022-03-24 22:18:44 status unpacked libxpm4:amd64 1:3.5.12-1
2022-03-24 22:18:44 install libxaw7:amd64 <none> 2:1.0.13-1
2022-03-24 22:18:44 status half-installed libxaw7:amd64 2:1.0.13-1
2022-03-24 22:18:44 status unpacked libxaw7:amd64 2:1.0.13-1
2022-03-24 22:18:44 install libxcb-randr0:amd64 <none> 1.14-2
2022-03-24 22:18:44 status half-installed libxcb-randr0:amd64 1.14-2
2022-03-24 22:18:44 status unpacked libxcb-randr0:amd64 1.14-2
2022-03-24 22:18:44 install libxcb-shape0:amd64 <none> 1.14-2
2022-03-24 22:18:44 status half-installed libxcb-shape0:amd64 1.14-2
2022-03-24 22:18:44 status unpacked libxcb-shape0:amd64 1.14-2
2022-03-24 22:18:44 install libxcomposite1:amd64 <none> 1:0.4.5-1
2022-03-24 22:18:44 status half-installed libxcomposite1:amd64 1:0.4.5-1
2022-03-24 22:18:44 status unpacked libxcomposite1:amd64 1:0.4.5-1
2022-03-24 22:18:44 install libxrender1:amd64 <none> 1:0.9.10-1
2022-03-24 22:18:44 status half-installed libxrender1:amd64 1:0.9.10-1
2022-03-24 22:18:44 status unpacked libxrender1:amd64 1:0.9.10-1
2022-03-24 22:18:44 install libxft2:amd64 <none> 2.3.3-0ubuntu1
2022-03-24 22:18:44 status half-installed libxft2:amd64 2.3.3-0ubuntu1
2022-03-24 22:18:44 status unpacked libxft2:amd64 2.3.3-0ubuntu1
2022-03-24 22:18:44 install libxi6:amd64 <none> 2:1.7.10-0ubuntu1
2022-03-24 22:18:44 status half-installed libxi6:amd64 2:1.7.10-0ubuntu1
2022-03-24 22:18:44 status unpacked libxi6:amd64 2:1.7.10-0ubuntu1
2022-03-24 22:18:44 install libxinerama1:amd64 <none> 2:1.1.4-2
2022-03-24 22:18:44 status half-installed libxinerama1:amd64 2:1.1.4-2
2022-03-24 22:18:45 status unpacked libxinerama1:amd64 2:1.1.4-2
2022-03-24 22:18:45 install libxkbfile1:amd64 <none> 1:1.1.0-1
2022-03-24 22:18:45 status half-installed libxkbfile1:amd64 1:1.1.0-1
2022-03-24 22:18:45 status unpacked libxkbfile1:amd64 1:1.1.0-1
2022-03-24 22:18:45 install libxrandr2:amd64 <none> 2:1.5.2-0ubuntu1
2022-03-24 22:18:45 status half-installed libxrandr2:amd64 2:1.5.2-0ubuntu1
2022-03-24 22:18:45 status unpacked libxrandr2:amd64 2:1.5.2-0ubuntu1
2022-03-24 22:18:45 install libxtst6:amd64 <none> 2:1.2.3-1
2022-03-24 22:18:45 status half-installed libxtst6:amd64 2:1.2.3-1
2022-03-24 22:18:45 status unpacked libxtst6:amd64 2:1.2.3-1
2022-03-24 22:18:45 install libxv1:amd64 <none> 2:1.0.11-1
2022-03-24 22:18:45 status half-installed libxv1:amd64 2:1.0.11-1
2022-03-24 22:18:45 status unpacked libxv1:amd64 2:1.0.11-1
2022-03-24 22:18:45 install libxxf86dga1:amd64 <none> 2:1.1.5-0ubuntu1
2022-03-24 22:18:45 status half-installed libxxf86dga1:amd64 2:1.1.5-0ubuntu1
2022-03-24 22:18:45 status unpacked libxxf86dga1:amd64 2:1.1.5-0ubuntu1
2022-03-24 22:18:45 install mesa-vulkan-drivers:amd64 <none> 21.2.6-0ubuntu0.1~20.04.2
2022-03-24 22:18:45 status half-installed mesa-vulkan-drivers:amd64 21.2.6-0ubuntu0.1~20.04.2
2022-03-24 22:18:45 status unpacked mesa-vulkan-drivers:amd64 21.2.6-0ubuntu0.1~20.04.2
2022-03-24 22:18:45 install pulseaudio-utils:amd64 <none> 1:13.99.1-1ubuntu3.13
2022-03-24 22:18:45 status half-installed pulseaudio-utils:amd64 1:13.99.1-1ubuntu3.13
2022-03-24 22:18:45 status unpacked pulseaudio-utils:amd64 1:13.99.1-1ubuntu3.13
2022-03-24 22:18:45 install wslu:all <none> 2.3.6-0ubuntu2~20.04.0
2022-03-24 22:18:45 status half-installed wslu:all 2.3.6-0ubuntu2~20.04.0
2022-03-24 22:18:45 status unpacked wslu:all 2.3.6-0ubuntu2~20.04.0
2022-03-24 22:18:45 install ubuntu-wsl:amd64 <none> 1.450.2
2022-03-24 22:18:45 status half-installed ubuntu-wsl:amd64 1.450.2
2022-03-24 22:18:45 status unpacked ubuntu-wsl:amd64 1.450.2
2022-03-24 22:18:45 install update-motd:all <none> 3.6-0ubuntu6.1
2022-03-24 22:18:45 status half-installed update-motd:all 3.6-0ubuntu6.1
2022-03-24 22:18:45 status unpacked update-motd:all 3.6-0ubuntu6.1
2022-03-24 22:18:45 install libglvnd0:amd64 <none> 1.3.2-1~ubuntu0.20.04.2
2022-03-24 22:18:45 status half-installed libglvnd0:amd64 1.3.2-1~ubuntu0.20.04.2
